"var_names","is_consequence","group","group_color"
"STX3",1,"Other","A9EBA9"
"STX8",1,"Other","A9EBA9"
"STXBP5",1,"Other","A9EBA9"
"SUCNR1",0,"TF","F0C69C"
"SUMO1P3",1,"Other","A9EBA9"
"SV2A",1,"Other","A9EBA9"
"SVOPL",1,"Other","A9EBA9"
"SYNGR1",1,"Other","A9EBA9"
"TAFA2",1,"Other","A9EBA9"
"TAL1",1,"Other","A9EBA9"
"TAOK3",1,"Other","A9EBA9"
"TENT5A",1,"Other","A9EBA9"
"TESC",1,"Other","A9EBA9"
"TESPA1",0,"TF","F0C69C"
"TFEC",1,"Other","A9EBA9"
"TFR2",0,"TF","F0C69C"
"THRB",1,"Other","A9EBA9"
"TIMM13",1,"Other","A9EBA9"
"TIMM17A",1,"Other","A9EBA9"
"TIMM8B",1,"Other","A9EBA9"
"TIMP2",1,"Other","A9EBA9"
"TIMP3",0,"TF","F0C69C"
"TLE4",1,"Other","A9EBA9"
